municipio_cod,municipio_fato,data_fato,ano,tentado_consumado,qtde_vitimas,feriado
317010,UBERABA,2018-01-01,2018,CONSUMADO,1,True
314390,MURIAE,2018-01-02,2018,TENTADO,1,False
312410,ESMERALDAS,2018-01-03,2018,TENTADO,1,False
317080,VARZEA DA PALMA,2018-01-06,2018,TENTADO,2,False
312540,FELICIO DOS SANTOS,2018-01-06,2018,CONSUMADO,1,False
311510,CASSIA,2018-01-07,2018,CONSUMADO,1,False
314000,MARIANA,2018-01-07,2018,CONSUMADO,1,False
315000,PESCADOR,2018-01-08,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-01-09,2018,TENTADO,1,False
316860,TEOFILO OTONI,2018-01-11,2018,TENTADO,1,False
315890,SANTANA DO MANHUACU,2018-01-12,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-01-14,2018,TENTADO,1,False
317010,UBERABA,2018-01-15,2018,CONSUMADO,2,False
314120,MATUTINA,2018-01-16,2018,TENTADO,1,False
315460,RIBEIRAO DAS NEVES,2018-01-16,2018,TENTADO,1,False
310270,CACHOEIRA DE PAJEU,2018-01-17,2018,TENTADO,1,False
313510,JANAUBA,2018-01-18,2018,TENTADO,2,False
316860,TEOFILO OTONI,2018-01-18,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-01-20,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-01-20,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-01-22,2018,TENTADO,1,False
316970,TURMALINA,2018-01-22,2018,TENTADO,1,False
315895,SANTANA DO PARAISO,2018-01-27,2018,TENTADO,1,False
313620,JOAO MONLEVADE,2018-01-28,2018,TENTADO,1,False
312100,DATAS,2018-01-28,2018,CONSUMADO,1,False
317020,UBERLANDIA,2018-01-30,2018,CONSUMADO,1,False
317010,UBERABA,2018-01-31,2018,TENTADO,1,False
312760,GOUVEIA,2018-02-02,2018,TENTADO,2,False
311860,CONTAGEM,2018-02-06,2018,CONSUMADO,1,False
310670,BETIM,2018-02-07,2018,CONSUMADO,1,False
312760,GOUVEIA,2018-02-09,2018,TENTADO,2,False
312760,GOUVEIA,2018-02-10,2018,TENTADO,1,False
311000,CAETE,2018-02-11,2018,TENTADO,1,False
311455,CARNEIRINHO,2018-02-11,2018,TENTADO,1,False
313170,ITABIRA,2018-02-11,2018,CONSUMADO,2,False
310610,BELMIRO BRAGA,2018-02-13,2018,TENTADO,1,False
315120,PIRAPORA,2018-02-13,2018,TENTADO,1,False
316720,SETE LAGOAS,2018-02-13,2018,TENTADO,1,False
316870,TIMOTEO,2018-02-13,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-02-13,2018,CONSUMADO,1,False
317010,UBERABA,2018-02-13,2018,CONSUMADO,1,False
317200,VISCONDE DO RIO BRANCO,2018-02-15,2018,CONSUMADO,1,False
314530,NOVO CRUZEIRO,2018-02-17,2018,CONSUMADO,1,False
314675,PALMOPOLIS,2018-02-18,2018,TENTADO,2,False
313750,LAGOA FORMOSA,2018-02-19,2018,CONSUMADO,1,False
317020,UBERLANDIA,2018-02-20,2018,TENTADO,2,False
317010,UBERABA,2018-02-21,2018,CONSUMADO,1,False
314090,MATIPO,2018-02-24,2018,TENTADO,1,False
316680,SERRA DO SALITRE,2018-02-24,2018,TENTADO,1,False
314330,MONTES CLAROS,2018-02-25,2018,TENTADO,1,False
314790,PASSOS,2018-02-25,2018,TENTADO,1,False
312980,IBIRITE,2018-02-28,2018,TENTADO,1,False
315150,PIUMHI,2018-02-28,2018,TENTADO,1,False
313550,JEQUERI,2018-03-01,2018,TENTADO,1,False
313520,JANUARIA,2018-03-02,2018,CONSUMADO,3,False
311205,CANTAGALO,2018-03-03,2018,TENTADO,1,False
313940,MANHUACU,2018-03-04,2018,CONSUMADO,1,False
316245,SAO JOAO DAS MISSOES,2018-03-05,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-03-06,2018,TENTADO,2,False
311230,CAPELINHA,2018-03-06,2018,TENTADO,1,False
312980,IBIRITE,2018-03-07,2018,CONSUMADO,1,False
312450,ESTIVA,2018-03-08,2018,CONSUMADO,1,False
310375,ARAPORA,2018-03-10,2018,TENTADO,1,False
313440,ITURAMA,2018-03-10,2018,TENTADO,1,False
313670,JUIZ DE FORA,2018-03-11,2018,TENTADO,1,False
315670,SABARA,2018-03-12,2018,TENTADO,2,False
315725,SANTA BARBARA DO LESTE,2018-03-13,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-03-15,2018,TENTADO,1,False
311860,CONTAGEM,2018-03-16,2018,TENTADO,1,False
312160,DIAMANTINA,2018-03-18,2018,TENTADO,1,False
312660,FRANCISCO DUMONT,2018-03-18,2018,TENTADO,1,False
310930,BURITIS,2018-03-19,2018,CONSUMADO,1,False
311860,CONTAGEM,2018-03-19,2018,CONSUMADO,1,False
316720,SETE LAGOAS,2018-03-21,2018,TENTADO,1,False
